log file for 10.1.1.8
53.82 91.69 59.18 9664.0 6900.0
53.79 91.29 59.18 9928.0 7408.0
53.8 91.32 59.18 9808.0 7408.0
53.77 91.32 59.18 9898.0 7416.0
53.81 91.32 59.18 5024.0 3704.0
53.99 91.35 59.18 5426.0 3704.0
53.83 91.35 59.18 10048.0 7482.0
53.74 91.37 59.18 9988.0 8992.0
53.81 91.37 59.18 10451.0 7702.0
53.82 91.37 59.18 9988.0 7408.0
53.74 91.4 59.18 10048.0 7408.0
53.9 91.37 59.18 9808.0 7408.0
53.83 91.4 59.18 9928.0 7408.0
53.8 91.4 59.18 9538.0 7408.0
53.83 91.4 59.18 9928.0 7408.0
53.84 91.42 59.18 8164.0 7408.0
53.68 91.42 59.18 9898.0 7408.0
54.0 91.48 59.18 5264.0 3704.0
53.81 91.5 59.18 5024.0 4496.0
53.74 91.5 59.18 5204.0 3704.0
53.86 91.5 59.18 10082.0 7622.0
53.88 91.5 59.18 9526.0 7210.0
53.71 91.53 59.18 9868.0 7482.0
53.97 91.53 59.18 9988.0 7408.0
53.87 91.56 59.18 9988.0 7408.0
53.83 91.56 59.18 9868.0 7482.0
53.76 91.56 59.18 9928.0 7408.0
53.77 91.56 59.18 9808.0 7408.0
53.75 91.56 59.18 10048.0 7524.0
53.98 91.58 59.18 5204.0 3704.0
53.97 91.61 59.18 5084.0 3704.0
53.76 91.61 59.18 9808.0 7450.0
53.77 91.61 59.18 9928.0 7408.0
53.85 91.61 59.18 9868.0 8992.0
53.7 91.63 59.18 9928.0 9034.0
53.95 91.61 59.18 9928.0 7408.0
53.81 91.63 59.18 8344.0 7514.0
53.95 92.05 59.18 9808.0 7450.0
54.02 92.05 59.18 9748.0 8992.0
53.87 92.08 59.18 10330.0 7408.0
53.73 92.08 59.18 9988.0 7408.0
54.03 92.1 59.18 9748.0 7482.0
53.79 92.1 59.18 10249.0 7744.0
53.73 92.13 59.18 9724.0 6916.0
55.69 88.44 59.18 9928.0 9066.0
53.8 88.47 59.18 9868.0 9034.0
53.67 88.47 59.18 10048.0 7408.0
53.95 88.5 59.18 9550.0 7060.0
53.89 88.55 59.18 9988.0 7408.0
53.75 88.52 59.18 10822.0 8248.0
53.83 88.55 59.18 9808.0 7408.0
53.85 88.55 59.18 9748.0 7408.0
53.83 88.55 59.18 10908.0 8494.0
53.86 88.58 59.18 9928.0 7408.0
53.84 88.58 59.18 9748.0 8992.0
53.81 88.58 59.18 10848.0 9972.0
53.8 88.58 59.18 9988.0 7408.0
53.91 88.6 59.18 9748.0 7408.0
53.85 88.6 59.18 10848.0 8388.0
53.78 88.6 59.18 9868.0 7408.0
53.82 88.63 59.18 9868.0 7482.0
53.68 88.63 59.18 10968.0 8388.0
53.74 88.65 59.18 9868.0 8992.0
53.86 88.65 59.18 8987.0 7776.0
53.92 88.65 59.18 8644.0 7828.0
53.84 88.65 59.18 9862.0 7408.0
53.78 88.65 59.18 9988.0 7482.0
53.82 88.65 59.18 9634.0 6982.0
53.79 88.68 59.18 5084.0 3704.0
53.9 88.73 59.18 9928.0 7408.0
53.9 88.73 59.18 10630.0 9412.0
53.79 88.73 59.18 9928.0 7408.0
53.79 88.73 59.18 9928.0 7408.0
53.84 88.76 59.18 10088.0 9272.0
53.68 88.76 59.18 4904.0 3704.0
53.91 88.78 59.18 5264.0 3704.0
53.87 88.78 59.18 5084.0 4496.0
53.95 88.78 59.18 4964.0 4496.0
53.92 88.78 59.18 9988.0 7408.0
53.77 88.81 59.18 9928.0 7482.0
53.72 88.81 59.18 9688.0 7408.0
53.8 88.81 59.18 9988.0 7408.0
53.83 88.84 59.18 9928.0 7482.0
53.67 88.86 59.18 9928.0 7450.0
53.79 88.84 59.18 9280.0 6672.0
53.82 88.86 59.18 9928.0 7482.0
53.68 88.86 59.18 9928.0 7408.0
53.89 88.89 59.18 10210.0 7408.0
53.89 88.92 59.18 9868.0 7408.0
16.9 87.9 59.18 9868.0 8992.0
9.99 88.86 59.18 9748.0 8992.0
8.01 88.76 59.18 9742.0 8992.0
29.19 88.84 59.18 10048.0 9066.0
7.33 88.89 59.18 8344.0 8992.0
7.17 88.94 59.18 5426.0 4496.0
7.45 88.99 59.18 9988.0 9066.0
7.3 89.05 59.18 9928.0 8992.0
7.14 89.12 59.18 9808.0 8992.0
8.07 89.59 59.18 9988.0 9066.0
35.27 89.8 59.18 9988.0 8992.0
7.11 89.86 59.18 9688.0 8992.0
7.22 89.93 59.18 10048.0 9066.0
7.09 90.01 59.18 9988.0 9034.0
7.09 90.07 59.18 9808.0 8992.0
7.29 90.12 59.18 9526.0 8934.0
7.24 90.17 59.18 9868.0 8992.0
7.09 90.22 59.18 9748.0 8992.0
7.22 90.3 59.18 10108.0 9066.0
7.16 90.35 59.18 10484.0 9100.0
7.16 89.93 59.18 9885.0 8992.0
7.17 89.93 59.18 9928.0 9066.0
7.1 89.93 59.18 9868.0 8992.0
7.37 90.38 59.18 9415.0 8900.0
7.17 90.38 59.18 5066.0 4288.0
7.14 90.38 59.18 9802.0 8992.0
7.23 90.38 59.18 9688.0 8992.0
7.21 90.41 59.18 10228.0 9066.0
7.24 90.38 59.18 5144.0 4496.0
7.16 90.41 59.18 9808.0 8992.0
7.16 90.41 59.18 10228.0 9066.0
7.27 90.41 59.18 9988.0 9034.0
7.13 90.43 59.18 9748.0 8992.0
7.22 90.43 59.18 9586.0 8934.0
7.3 90.43 59.18 9982.0 8898.0
7.14 90.46 59.18 9748.0 8992.0
7.23 90.46 59.18 8404.0 9066.0
7.38 90.46 59.18 9862.0 9086.0
7.13 90.51 59.18 9676.0 8804.0
7.27 90.51 59.18 9982.0 8972.0
9.03 90.22 59.18 9928.0 8900.0
7.14 90.25 59.18 9748.0 9034.0
7.27 90.25 59.18 10108.0 9066.0
7.27 90.25 59.18 5084.0 4496.0
7.03 90.27 59.18 9566.0 8740.0
7.2 90.27 59.18 9730.0 8652.0
7.26 90.3 59.18 9460.0 8728.0
6.96 90.33 59.18 9688.0 8992.0
7.17 90.33 59.18 10082.0 9132.0
7.27 90.33 59.18 9808.0 8992.0
7.15 90.33 59.18 7956.0 7242.0
7.07 90.33 59.18 9658.0 8580.0
7.19 90.35 59.18 9868.0 8992.0
7.2 90.38 59.18 9616.0 8804.0
7.05 90.38 59.18 10108.0 9066.0
7.25 90.41 59.18 9808.0 8992.0
7.11 90.38 59.18 9748.0 8992.0
7.1 90.41 59.18 4862.0 4438.0
7.21 90.41 59.18 9868.0 8992.0
7.11 90.46 59.18 9748.0 8992.0
7.16 90.48 59.18 9988.0 9066.0
7.14 90.46 59.18 8464.0 8992.0
7.01 90.46 59.18 9688.0 8992.0
7.23 90.51 59.18 9988.0 9066.0
7.18 90.51 59.18 5744.0 4916.0
7.04 90.54 59.18 9478.0 8926.0
7.11 90.54 59.18 10048.0 9066.0
7.11 90.54 59.18 11208.0 10434.0
7.15 90.56 59.18 9868.0 8992.0
7.08 90.56 59.18 5264.0 4570.0
6.97 90.59 59.18 11208.0 10392.0
7.02 90.59 59.18 9868.0 8992.0
7.04 90.59 59.18 9670.0 9152.0
7.13 90.61 59.18 11208.0 10392.0
7.14 90.64 59.18 4880.0 4016.0
6.99 90.61 59.18 9988.0 8992.0
7.03 90.54 59.18 10728.0 9972.0
7.25 90.51 59.18 9538.0 8926.0
13.14 94.54 59.18 9988.0 9066.0
7.2 95.16 59.18 4958.0 4402.0
6.98 95.19 59.18 9868.0 8992.0
7.19 95.24 59.18 9928.0 8992.0
6.97 95.27 59.18 9376.0 8884.0
7.22 95.27 59.18 5144.0 4496.0
7.17 95.29 59.18 9928.0 8992.0
7.16 95.29 59.18 9808.0 8992.0
7.09 95.32 59.18 9616.0 8672.0
7.06 95.35 59.18 9988.0 8992.0
7.03 95.35 59.18 9682.0 8898.0
7.21 95.35 59.18 10210.0 8992.0
7.15 95.37 59.18 9988.0 8992.0
7.33 95.79 59.18 8484.0 7632.0
7.35 95.82 59.18 9802.0 8898.0
7.24 95.84 59.18 10108.0 8992.0
7.09 95.84 59.18 9808.0 8992.0
7.16 95.84 59.18 10048.0 8992.0
7.15 95.84 59.18 9868.0 8992.0
7.03 95.87 59.18 9688.0 8992.0
7.16 95.87 59.18 5847.0 4790.0
7.22 95.87 59.18 9928.0 8992.0
7.06 95.9 59.18 9802.0 8898.0
7.28 95.92 59.18 10148.0 9272.0
7.21 95.92 59.18 10048.0 8992.0
7.1 95.92 59.18 9808.0 8992.0
7.22 95.92 59.18 10208.0 9272.0
9.26 89.28 59.18 9856.0 8804.0
